available_actions,ball_zone,best_action_estimate,counter_estimate,formation_a,formation_b,game_state,numerical_state,opponent_response_estimate,opponent_shape_b,outcome_estimate,pressure_level,scenario_id,source_class,space_value_estimate,style_a,style_b,team_shape_a
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-4-2,protect_lead,even,shift_across,4-4-2_low_block,progression,low,SC00161,F,0.83,tiki_taka,low_block,4-4-2_diamond_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z10,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,3-4-3,1-0,defender_plus_1,shift_across,3-4-3_mid_block,shot_created,low,SC00162,F,0.28,low_block,direct_football,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z19,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,3-5-2,1-0,defender_plus_1,step_up_together,3-5-2_mid_block,shot_created,low,SC00163,F,0.61,possession_football,positional_play,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z5,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,3-5-2,must_win,attacker_plus_1,press_immediately,3-5-2_mid_block,progression,low,SC00164,F,0.3,wing_play,total_football,4-4-2_diamond_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z30,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,5-3-2,protect_lead,defender_plus_1,drop_off,5-3-2_mid_block,possession_reset,high,SC00165,F,0.3,total_football,high_press,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z17,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-1-4-1,1-2,attacker_plus_1,press_immediately,4-1-4-1_mid_block,shot_created,high,SC00166,F,0.61,direct_football,counterattacking,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z10,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-4-2_diamond,2-0,even,recover_goal_side,4-4-2_diamond_low_block,progression,low,SC00167,F,0.65,counterattacking,wing_play,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z23,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,3-1-4-2,0-2,attacker_plus_1,hand_over_marking,3-1-4-2_mid_block,shot_created,high,SC00168,F,0.43,possession_football,low_block,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,3-4-3,0-1,attacker_plus_1,drop_off,3-4-3_mid_block,shot_created,medium,SC00169,F,0.35,positional_play,wing_play,3-1-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z29,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-2-3-1,chase_goal,defender_plus_1,hand_over_marking,4-2-3-1_mid_block,turnover,low,SC00170,F,0.1,counterattacking,gegenpressing,4-4-2_diamond_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z1,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-5-2,chase_goal,attacker_plus_1,drop_off,3-5-2_mid_block,turnover,low,SC00171,F,0.35,tiki_taka,direct_football,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z9,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,5-3-2,1-0,attacker_plus_1,hold_shape,5-3-2_low_block,turnover,medium,SC00172,F,0.64,gegenpressing,low_block,4-4-2_diamond_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-1-4-1,2-1,defender_plus_1,step_up_together,4-1-4-1_low_block,possession_reset,low,SC00173,F,0.19,total_football,high_press,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z5,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-2-3-1,2-1,even,hand_over_marking,4-2-3-1_mid_block,shot_created,high,SC00174,F,0.12,high_press,counterattacking,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z12,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,3-1-4-2,chase_goal,even,recover_goal_side,3-1-4-2_low_block,turnover,low,SC00175,F,0.81,total_football,low_block,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z30,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,3-4-3,1-0,attacker_plus_1,hand_over_marking,3-4-3_mid_block,shot_created,high,SC00176,F,0.29,positional_play,counterattacking,4-1-4-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z10,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-4-2_diamond,1-0,even,press_immediately,4-4-2_diamond_low_block,turnover,low,SC00177,F,0.89,low_block,tiki_taka,4-2-2-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z23,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,3-5-2,0-0,attacker_plus_1,drop_off,3-5-2_low_block,turnover,high,SC00178,F,0.36,gegenpressing,wing_play,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z11,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-4-3,must_win,attacker_plus_1,drop_off,3-4-3_low_block,possession_reset,low,SC00179,F,0.28,tiki_taka,total_football,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z12,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,3-5-2,0-2,even,hand_over_marking,3-5-2_mid_block,shot_created,high,SC00180,F,0.11,tiki_taka,low_block,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z18,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-3-3,chase_goal,even,shift_across,4-3-3_mid_block,turnover,low,SC00181,F,0.41,high_press,positional_play,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z20,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,4-4-2,chase_goal,attacker_plus_1,hold_shape,4-4-2_low_block,shot_created,high,SC00182,F,0.55,wing_play,high_press,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z22,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-2-3-1,chase_goal,attacker_plus_1,drop_off,4-2-3-1_low_block,turnover,low,SC00183,F,0.79,direct_football,counterattacking,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z28,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-3-3,0-1,defender_plus_1,double_team,4-3-3_low_block,possession_reset,medium,SC00184,F,0.26,low_block,tiki_taka,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z27,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,4-4-2,protect_lead,even,shift_across,4-4-2_low_block,turnover,low,SC00185,F,0.68,total_football,possession_football,3-5-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z3,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,4-3-3,must_win,attacker_plus_1,double_team,4-3-3_mid_block,progression,high,SC00186,F,0.35,wing_play,possession_football,3-5-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z29,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-2-2-2,must_win,defender_plus_1,drop_off,4-2-2-2_mid_block,possession_reset,medium,SC00187,F,0.85,possession_football,direct_football,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z24,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-4-2,chase_goal,defender_plus_1,hand_over_marking,4-4-2_mid_block,turnover,low,SC00188,F,0.24,gegenpressing,positional_play,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z18,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-2-2-2,0-1,defender_plus_1,recover_goal_side,4-2-2-2_mid_block,shot_created,medium,SC00189,F,0.86,direct_football,high_press,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z9,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-5-2,0-2,even,shift_across,3-5-2_low_block,possession_reset,medium,SC00190,F,0.8,wing_play,total_football,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z1,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,5-3-2,chase_goal,defender_plus_1,double_team,5-3-2_low_block,turnover,low,SC00191,F,0.22,possession_football,low_block,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z6,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,3-1-4-2,0-1,attacker_plus_1,double_team,3-1-4-2_low_block,shot_created,high,SC00192,F,0.57,total_football,direct_football,4-4-2_diamond_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z7,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-1-4-1,chase_goal,even,press_immediately,4-1-4-1_mid_block,progression,low,SC00193,F,0.14,wing_play,total_football,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z21,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-2-3-1,0-2,defender_plus_1,recover_goal_side,4-2-3-1_low_block,turnover,medium,SC00194,F,0.75,low_block,gegenpressing,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z22,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,3-5-2,1-0,defender_plus_1,hold_shape,3-5-2_mid_block,shot_created,low,SC00195,F,0.81,positional_play,high_press,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z20,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-1-4-1,must_win,attacker_plus_1,shift_across,4-1-4-1_low_block,progression,high,SC00196,F,0.8,gegenpressing,total_football,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z13,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,4-4-2_diamond,chase_goal,defender_plus_1,drop_off,4-4-2_diamond_low_block,possession_reset,low,SC00197,F,0.54,wing_play,counterattacking,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z13,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,3-1-4-2,chase_goal,defender_plus_1,recover_goal_side,3-1-4-2_low_block,turnover,high,SC00198,F,0.49,positional_play,direct_football,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z18,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,5-3-2,2-1,attacker_plus_1,press_immediately,5-3-2_mid_block,turnover,low,SC00199,F,0.77,counterattacking,positional_play,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-2-3-1,0-1,attacker_plus_1,recover_goal_side,4-2-3-1_low_block,shot_created,high,SC00200,F,0.71,wing_play,total_football,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z2,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-1-4-1,1-0,defender_plus_1,drop_off,4-1-4-1_mid_block,shot_created,low,SC00201,F,0.31,total_football,tiki_taka,4-4-2_diamond_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,3-4-3,2-1,defender_plus_1,hand_over_marking,3-4-3_mid_block,turnover,medium,SC00202,F,0.82,positional_play,possession_football,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z30,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-2-3-1,2-1,even,recover_goal_side,4-2-3-1_mid_block,turnover,high,SC00203,F,0.53,high_press,low_block,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z9,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-3-3,2-0,attacker_plus_1,step_up_together,4-3-3_low_block,progression,high,SC00204,F,0.56,total_football,tiki_taka,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z6,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-2-3-1,protect_lead,defender_plus_1,double_team,4-2-3-1_mid_block,shot_created,high,SC00205,F,0.7,tiki_taka,counterattacking,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z2,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-4-2,1-0,even,drop_off,4-4-2_mid_block,turnover,low,SC00206,F,0.56,counterattacking,total_football,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z27,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,3-4-3,chase_goal,defender_plus_1,hand_over_marking,3-4-3_mid_block,progression,high,SC00207,F,0.77,gegenpressing,positional_play,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,4-2-3-1,0-2,attacker_plus_1,step_up_together,4-2-3-1_low_block,turnover,high,SC00208,F,0.48,tiki_taka,counterattacking,4-3-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z29,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-4-2,protect_lead,attacker_plus_1,shift_across,4-4-2_low_block,turnover,high,SC00209,F,0.38,positional_play,gegenpressing,4-2-2-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z4,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-3-3,chase_goal,defender_plus_1,shift_across,4-3-3_mid_block,progression,high,SC00210,F,0.56,low_block,positional_play,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z30,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,3-5-2,protect_lead,attacker_plus_1,press_immediately,3-5-2_low_block,shot_created,high,SC00211,F,0.8,possession_football,gegenpressing,4-4-2_diamond_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z5,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-4-2_diamond,protect_lead,even,double_team,4-4-2_diamond_mid_block,turnover,medium,SC00212,F,0.62,gegenpressing,high_press,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z13,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,4-2-2-2,2-1,defender_plus_1,recover_goal_side,4-2-2-2_low_block,possession_reset,high,SC00213,F,0.84,direct_football,counterattacking,3-5-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z5,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-1-4-1,protect_lead,defender_plus_1,hold_shape,4-1-4-1_mid_block,shot_created,high,SC00214,F,0.83,positional_play,possession_football,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z23,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-4-2_diamond,chase_goal,defender_plus_1,drop_off,4-4-2_diamond_low_block,shot_created,low,SC00215,F,0.61,direct_football,possession_football,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z30,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,3-1-4-2,must_win,defender_plus_1,drop_off,3-1-4-2_low_block,progression,high,SC00216,F,0.56,counterattacking,high_press,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z8,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,5-3-2,2-1,attacker_plus_1,drop_off,5-3-2_low_block,possession_reset,high,SC00217,F,0.77,tiki_taka,positional_play,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z25,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,4-2-3-1,0-0,even,double_team,4-2-3-1_low_block,progression,medium,SC00218,F,0.87,wing_play,high_press,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z10,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-1-4-2,must_win,defender_plus_1,press_immediately,3-1-4-2_low_block,progression,high,SC00219,F,0.5,gegenpressing,counterattacking,4-3-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-2-3-1,protect_lead,defender_plus_1,drop_off,4-2-3-1_mid_block,progression,high,SC00220,F,0.19,low_block,counterattacking,4-1-4-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z18,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-2-2-2,2-1,defender_plus_1,double_team,4-2-2-2_mid_block,progression,high,SC00221,F,0.77,high_press,low_block,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z6,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,3-1-4-2,1-2,defender_plus_1,hold_shape,3-1-4-2_low_block,progression,high,SC00222,F,0.8,low_block,counterattacking,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z23,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-1-4-1,chase_goal,attacker_plus_1,shift_across,4-1-4-1_mid_block,turnover,high,SC00223,F,0.52,total_football,possession_football,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z19,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-1-4-1,0-2,even,press_immediately,4-1-4-1_low_block,shot_created,low,SC00224,F,0.47,tiki_taka,total_football,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z10,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,3-1-4-2,0-2,even,hand_over_marking,3-1-4-2_mid_block,turnover,low,SC00225,F,0.17,tiki_taka,high_press,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z20,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,3-4-3,0-2,attacker_plus_1,recover_goal_side,3-4-3_mid_block,possession_reset,high,SC00226,F,0.73,counterattacking,possession_football,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-2-3-1,1-2,defender_plus_1,recover_goal_side,4-2-3-1_low_block,possession_reset,high,SC00227,F,0.18,low_block,counterattacking,4-4-2_diamond_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z6,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-4-3,1-2,even,shift_across,3-4-3_low_block,possession_reset,low,SC00228,F,0.29,possession_football,positional_play,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z12,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-2-2-2,chase_goal,even,hand_over_marking,4-2-2-2_mid_block,turnover,medium,SC00229,F,0.17,positional_play,high_press,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,3-5-2,0-1,attacker_plus_1,recover_goal_side,3-5-2_low_block,progression,low,SC00230,F,0.18,low_block,wing_play,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z25,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-3-3,0-1,even,recover_goal_side,4-3-3_mid_block,progression,low,SC00231,F,0.39,gegenpressing,direct_football,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z27,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-1-4-1,must_win,attacker_plus_1,hold_shape,4-1-4-1_low_block,shot_created,high,SC00232,F,0.13,gegenpressing,direct_football,4-4-2_diamond_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z25,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-4-2_diamond,0-1,even,recover_goal_side,4-4-2_diamond_mid_block,turnover,high,SC00233,F,0.69,possession_football,direct_football,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z3,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-1-4-1,2-1,even,double_team,4-1-4-1_mid_block,turnover,medium,SC00234,F,0.46,total_football,gegenpressing,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z4,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-2-2-2,0-0,even,recover_goal_side,4-2-2-2_mid_block,progression,high,SC00235,F,0.87,gegenpressing,wing_play,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-3-3,2-1,defender_plus_1,hold_shape,4-3-3_low_block,possession_reset,medium,SC00236,F,0.49,total_football,counterattacking,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z18,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-3-3,protect_lead,attacker_plus_1,hold_shape,4-3-3_low_block,turnover,medium,SC00237,F,0.46,wing_play,possession_football,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-3-3,2-1,attacker_plus_1,drop_off,4-3-3_mid_block,turnover,high,SC00238,F,0.88,direct_football,positional_play,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z30,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-4-3,2-1,even,hold_shape,3-4-3_low_block,shot_created,low,SC00239,F,0.51,low_block,positional_play,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z9,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-1-4-1,must_win,even,hand_over_marking,4-1-4-1_mid_block,shot_created,medium,SC00240,F,0.67,possession_football,tiki_taka,3-1-4-2_defensive_shape
