action,actor,category,condition,confidence,counter,expected_result,phase,purpose,risk,rule_id,source_class,target,trigger
pass_to_false_fb_who_lays_off_to_full_back,carrilero,PASSING,full_back_positioned_to_receive_in_Z20_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,full_back receives progressed and facing forward in Z20,offensive_transition,a third-man combination (counterattack) moving the ball from Z29 through Z10 to Z20 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00075,C,Z20,carrilero_in_possession_in_Z29_under_pressure
pass_to_sweeper_keeper_who_lays_off_to_raumdeuter,ball_winning_midfielder,PASSING,raumdeuter_positioned_to_receive_in_Z13_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,raumdeuter receives progressed and facing forward in Z13,attacking_organisation,a third-man combination (build up) moving the ball from Z8 through Z4 to Z13 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00076,C,Z13,ball_winning_midfielder_in_possession_in_Z8_under_pressure
pass_to_deep_lying_forward_who_lays_off_to_inside_forward,ball_playing_gk,PASSING,inside_forward_positioned_to_receive_in_Z30_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,inside_forward receives progressed and facing forward in Z30,attacking_organisation,a third-man combination (press escape) moving the ball from Z19 through Z17 to Z30 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00077,C,Z30,ball_playing_gk_in_possession_in_Z19_under_pressure
pass_to_cover_defender_who_lays_off_to_regista,aggressive_gk,PASSING,regista_positioned_to_receive_in_Z26_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,regista receives progressed and facing forward in Z26,attacking_organisation,a third-man combination (press escape) moving the ball from Z15 through Z20 to Z26 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00078,C,Z26,aggressive_gk_in_possession_in_Z15_under_pressure
pass_to_ball_playing_gk_who_lays_off_to_anchor_man,segundo_volante,PASSING,anchor_man_positioned_to_receive_in_Z17_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,anchor_man receives progressed and facing forward in Z17,offensive_transition,a third-man combination (counterattack) moving the ball from Z11 through Z25 to Z17 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00079,C,Z17,segundo_volante_in_possession_in_Z11_under_pressure
pass_to_sweeper_keeper_who_lays_off_to_advanced_playmaker,advanced_forward,PASSING,advanced_playmaker_positioned_to_receive_in_Z9_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,advanced_playmaker receives progressed and facing forward in Z9,attacking_organisation,a third-man combination (progression) moving the ball from Z4 through Z25 to Z9 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00080,C,Z9,advanced_forward_in_possession_in_Z4_under_pressure
pass_to_half_back_who_lays_off_to_deep_lying_forward,raumdeuter,PASSING,deep_lying_forward_positioned_to_receive_in_Z23_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,deep_lying_forward receives progressed and facing forward in Z23,attacking_organisation,a third-man combination (press escape) moving the ball from Z7 through Z12 to Z23 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00081,C,Z23,raumdeuter_in_possession_in_Z7_under_pressure
pass_to_wide_cb_who_lays_off_to_ball_playing_gk,inverted_fb,PASSING,ball_playing_gk_positioned_to_receive_in_Z26_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,ball_playing_gk receives progressed and facing forward in Z26,attacking_organisation,a third-man combination (press escape) moving the ball from Z19 through Z10 to Z26 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00082,C,Z26,inverted_fb_in_possession_in_Z19_under_pressure
pass_to_mezzala_who_lays_off_to_complete_wing_back,full_back,PASSING,complete_wing_back_positioned_to_receive_in_Z23_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,complete_wing_back receives progressed and facing forward in Z23,attacking_organisation,a third-man combination (press escape) moving the ball from Z22 through Z7 to Z23 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00083,C,Z23,full_back_in_possession_in_Z22_under_pressure
pass_to_ball_playing_cb_who_lays_off_to_defensive_winger,poacher,PASSING,defensive_winger_positioned_to_receive_in_Z15_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,defensive_winger receives progressed and facing forward in Z15,attacking_organisation,a third-man combination (progression) moving the ball from Z8 through Z1 to Z15 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00084,C,Z15,poacher_in_possession_in_Z8_under_pressure
pass_to_wing_back_who_lays_off_to_full_back,deep_lying_forward,PASSING,full_back_positioned_to_receive_in_Z27_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,full_back receives progressed and facing forward in Z27,attacking_organisation,a third-man combination (build up) moving the ball from Z23 through Z4 to Z27 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00085,C,Z27,deep_lying_forward_in_possession_in_Z23_under_pressure
pass_to_raumdeuter_who_lays_off_to_cover_defender,inside_forward,PASSING,cover_defender_positioned_to_receive_in_Z8_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,cover_defender receives progressed and facing forward in Z8,offensive_transition,a third-man combination (counterattack) moving the ball from Z22 through Z16 to Z8 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00086,C,Z8,inside_forward_in_possession_in_Z22_under_pressure
pass_to_wide_cb_who_lays_off_to_false_nine,shadow_striker,PASSING,false_nine_positioned_to_receive_in_Z9_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,false_nine receives progressed and facing forward in Z9,attacking_organisation,a third-man combination (press escape) moving the ball from Z2 through Z8 to Z9 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00087,C,Z9,shadow_striker_in_possession_in_Z2_under_pressure
pass_to_complete_forward_who_lays_off_to_pressing_forward,cover_defender,PASSING,pressing_forward_positioned_to_receive_in_Z8_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,pressing_forward receives progressed and facing forward in Z8,attacking_organisation,a third-man combination (progression) moving the ball from Z4 through Z6 to Z8 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00088,C,Z8,cover_defender_in_possession_in_Z4_under_pressure
pass_to_ball_playing_cb_who_lays_off_to_attacking_fb,inside_forward,PASSING,attacking_fb_positioned_to_receive_in_Z26_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,attacking_fb receives progressed and facing forward in Z26,attacking_organisation,a third-man combination (press escape) moving the ball from Z4 through Z28 to Z26 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00089,C,Z26,inside_forward_in_possession_in_Z4_under_pressure
pass_to_defensive_winger_who_lays_off_to_ball_winning_midfielder,raumdeuter,PASSING,ball_winning_midfielder_positioned_to_receive_in_Z25_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,ball_winning_midfielder receives progressed and facing forward in Z25,attacking_organisation,a third-man combination (progression) moving the ball from Z22 through Z26 to Z25 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00090,C,Z25,raumdeuter_in_possession_in_Z22_under_pressure
pass_to_deep_lying_forward_who_lays_off_to_inverted_fb,box_to_box,PASSING,inverted_fb_positioned_to_receive_in_Z20_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,inverted_fb receives progressed and facing forward in Z20,attacking_organisation,a third-man combination (press escape) moving the ball from Z13 through Z27 to Z20 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00091,C,Z20,box_to_box_in_possession_in_Z13_under_pressure
pass_to_wide_cb_who_lays_off_to_wing_back,regista,PASSING,wing_back_positioned_to_receive_in_Z15_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,wing_back receives progressed and facing forward in Z15,attacking_organisation,a third-man combination (press escape) moving the ball from Z13 through Z30 to Z15 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00092,C,Z15,regista_in_possession_in_Z13_under_pressure
pass_to_pressing_forward_who_lays_off_to_carrilero,destroyer,PASSING,carrilero_positioned_to_receive_in_Z24_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,carrilero receives progressed and facing forward in Z24,offensive_transition,a third-man combination (counterattack) moving the ball from Z2 through Z27 to Z24 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00093,C,Z24,destroyer_in_possession_in_Z2_under_pressure
pass_to_ball_winning_midfielder_who_lays_off_to_wide_playmaker,wide_cb,PASSING,wide_playmaker_positioned_to_receive_in_Z24_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,wide_playmaker receives progressed and facing forward in Z24,attacking_organisation,a third-man combination (build up) moving the ball from Z18 through Z15 to Z24 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00094,C,Z24,wide_cb_in_possession_in_Z18_under_pressure
pass_to_deep_lying_forward_who_lays_off_to_traditional_winger,mezzala,PASSING,traditional_winger_positioned_to_receive_in_Z24_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,traditional_winger receives progressed and facing forward in Z24,attacking_organisation,a third-man combination (press escape) moving the ball from Z7 through Z12 to Z24 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00095,C,Z24,mezzala_in_possession_in_Z7_under_pressure
pass_to_inside_forward_who_lays_off_to_regista,stopper,PASSING,regista_positioned_to_receive_in_Z29_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,regista receives progressed and facing forward in Z29,attacking_organisation,a third-man combination (press escape) moving the ball from Z28 through Z21 to Z29 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00096,C,Z29,stopper_in_possession_in_Z28_under_pressure
pass_to_shadow_striker_who_lays_off_to_advanced_playmaker,inverted_fb,PASSING,advanced_playmaker_positioned_to_receive_in_Z7_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,advanced_playmaker receives progressed and facing forward in Z7,attacking_organisation,a third-man combination (build up) moving the ball from Z26 through Z5 to Z7 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00097,C,Z7,inverted_fb_in_possession_in_Z26_under_pressure
pass_to_segundo_volante_who_lays_off_to_deep_lying_forward,raumdeuter,PASSING,deep_lying_forward_positioned_to_receive_in_Z2_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,deep_lying_forward receives progressed and facing forward in Z2,attacking_organisation,a third-man combination (build up) moving the ball from Z5 through Z23 to Z2 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00098,C,Z2,raumdeuter_in_possession_in_Z5_under_pressure
pass_to_stopper_who_lays_off_to_sweeper_keeper,wide_playmaker,PASSING,sweeper_keeper_positioned_to_receive_in_Z27_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,sweeper_keeper receives progressed and facing forward in Z27,attacking_organisation,a third-man combination (progression) moving the ball from Z18 through Z7 to Z27 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00099,C,Z27,wide_playmaker_in_possession_in_Z18_under_pressure
pass_to_deep_playmaker_who_lays_off_to_sweeper_keeper,raumdeuter,PASSING,sweeper_keeper_positioned_to_receive_in_Z1_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,sweeper_keeper receives progressed and facing forward in Z1,attacking_organisation,a third-man combination (final third) moving the ball from Z24 through Z3 to Z1 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00100,C,Z1,raumdeuter_in_possession_in_Z24_under_pressure
pass_to_poacher_who_lays_off_to_cover_defender,ball_playing_gk,PASSING,cover_defender_positioned_to_receive_in_Z14_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,cover_defender receives progressed and facing forward in Z14,attacking_organisation,a third-man combination (final third) moving the ball from Z17 through Z23 to Z14 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00101,C,Z14,ball_playing_gk_in_possession_in_Z17_under_pressure
pass_to_number_10_who_lays_off_to_carrilero,trequartista,PASSING,carrilero_positioned_to_receive_in_Z16_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,carrilero receives progressed and facing forward in Z16,attacking_organisation,a third-man combination (progression) moving the ball from Z1 through Z3 to Z16 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00102,C,Z16,trequartista_in_possession_in_Z1_under_pressure
pass_to_carrilero_who_lays_off_to_wing_back,target_man,PASSING,wing_back_positioned_to_receive_in_Z14_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,wing_back receives progressed and facing forward in Z14,attacking_organisation,a third-man combination (build up) moving the ball from Z24 through Z18 to Z14 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00103,C,Z14,target_man_in_possession_in_Z24_under_pressure
pass_to_attacking_fb_who_lays_off_to_inverted_winger,complete_forward,PASSING,inverted_winger_positioned_to_receive_in_Z25_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,inverted_winger receives progressed and facing forward in Z25,attacking_organisation,a third-man combination (final third) moving the ball from Z29 through Z14 to Z25 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00104,C,Z25,complete_forward_in_possession_in_Z29_under_pressure
pass_to_defensive_winger_who_lays_off_to_ball_winning_midfielder,sweeper_keeper,PASSING,ball_winning_midfielder_positioned_to_receive_in_Z26_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,ball_winning_midfielder receives progressed and facing forward in Z26,attacking_organisation,a third-man combination (build up) moving the ball from Z28 through Z22 to Z26 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00105,C,Z26,sweeper_keeper_in_possession_in_Z28_under_pressure
pass_to_raumdeuter_who_lays_off_to_box_to_box,inside_forward,PASSING,box_to_box_positioned_to_receive_in_Z19_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,box_to_box receives progressed and facing forward in Z19,attacking_organisation,a third-man combination (press escape) moving the ball from Z16 through Z30 to Z19 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00106,C,Z19,inside_forward_in_possession_in_Z16_under_pressure
pass_to_wide_playmaker_who_lays_off_to_number_10,mezzala,PASSING,number_10_positioned_to_receive_in_Z3_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,number_10 receives progressed and facing forward in Z3,attacking_organisation,a third-man combination (build up) moving the ball from Z27 through Z28 to Z3 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00107,C,Z3,mezzala_in_possession_in_Z27_under_pressure
pass_to_stopper_who_lays_off_to_aggressive_gk,complete_forward,PASSING,aggressive_gk_positioned_to_receive_in_Z23_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,aggressive_gk receives progressed and facing forward in Z23,attacking_organisation,a third-man combination (press escape) moving the ball from Z29 through Z15 to Z23 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00108,C,Z23,complete_forward_in_possession_in_Z29_under_pressure
pass_to_ball_playing_gk_who_lays_off_to_regista,full_back,PASSING,regista_positioned_to_receive_in_Z6_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,regista receives progressed and facing forward in Z6,attacking_organisation,a third-man combination (build up) moving the ball from Z24 through Z30 to Z6 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00109,C,Z6,full_back_in_possession_in_Z24_under_pressure
pass_to_full_back_who_lays_off_to_segundo_volante,shot_stopper,PASSING,segundo_volante_positioned_to_receive_in_Z27_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,segundo_volante receives progressed and facing forward in Z27,offensive_transition,a third-man combination (counterattack) moving the ball from Z19 through Z30 to Z27 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00110,C,Z27,shot_stopper_in_possession_in_Z19_under_pressure
pass_to_inverted_winger_who_lays_off_to_defensive_winger,shadow_striker,PASSING,defensive_winger_positioned_to_receive_in_Z29_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,defensive_winger receives progressed and facing forward in Z29,attacking_organisation,a third-man combination (progression) moving the ball from Z24 through Z26 to Z29 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00111,C,Z29,shadow_striker_in_possession_in_Z24_under_pressure
pass_to_segundo_volante_who_lays_off_to_anchor_man,advanced_forward,PASSING,anchor_man_positioned_to_receive_in_Z17_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,anchor_man receives progressed and facing forward in Z17,offensive_transition,a third-man combination (counterattack) moving the ball from Z19 through Z18 to Z17 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00112,C,Z17,advanced_forward_in_possession_in_Z19_under_pressure
pass_to_carrilero_who_lays_off_to_ball_playing_gk,stopper,PASSING,ball_playing_gk_positioned_to_receive_in_Z23_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,ball_playing_gk receives progressed and facing forward in Z23,attacking_organisation,a third-man combination (final third) moving the ball from Z9 through Z5 to Z23 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00113,C,Z23,stopper_in_possession_in_Z9_under_pressure
pass_to_target_man_who_lays_off_to_poacher,regista,PASSING,poacher_positioned_to_receive_in_Z16_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,poacher receives progressed and facing forward in Z16,attacking_organisation,a third-man combination (press escape) moving the ball from Z28 through Z26 to Z16 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00114,C,Z16,regista_in_possession_in_Z28_under_pressure
pass_to_ball_winning_midfielder_who_lays_off_to_attacking_fb,shot_stopper,PASSING,attacking_fb_positioned_to_receive_in_Z17_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,attacking_fb receives progressed and facing forward in Z17,offensive_transition,a third-man combination (counterattack) moving the ball from Z11 through Z6 to Z17 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00115,C,Z17,shot_stopper_in_possession_in_Z11_under_pressure
pass_to_half_back_who_lays_off_to_inverted_fb,wide_cb,PASSING,inverted_fb_positioned_to_receive_in_Z4_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,inverted_fb receives progressed and facing forward in Z4,attacking_organisation,a third-man combination (build up) moving the ball from Z12 through Z19 to Z4 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00116,C,Z4,wide_cb_in_possession_in_Z12_under_pressure
pass_to_defensive_winger_who_lays_off_to_full_back,cover_defender,PASSING,full_back_positioned_to_receive_in_Z16_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,full_back receives progressed and facing forward in Z16,offensive_transition,a third-man combination (counterattack) moving the ball from Z6 through Z17 to Z16 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00117,C,Z16,cover_defender_in_possession_in_Z6_under_pressure
pass_to_shadow_striker_who_lays_off_to_deep_playmaker,ball_winning_midfielder,PASSING,deep_playmaker_positioned_to_receive_in_Z26_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,deep_playmaker receives progressed and facing forward in Z26,offensive_transition,a third-man combination (counterattack) moving the ball from Z14 through Z16 to Z26 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00118,C,Z26,ball_winning_midfielder_in_possession_in_Z14_under_pressure
pass_to_cover_defender_who_lays_off_to_wing_back,traditional_winger,PASSING,wing_back_positioned_to_receive_in_Z4_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,wing_back receives progressed and facing forward in Z4,attacking_organisation,a third-man combination (progression) moving the ball from Z3 through Z22 to Z4 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00119,C,Z4,traditional_winger_in_possession_in_Z3_under_pressure
pass_to_shot_stopper_who_lays_off_to_box_to_box,poacher,PASSING,box_to_box_positioned_to_receive_in_Z4_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,box_to_box receives progressed and facing forward in Z4,attacking_organisation,a third-man combination (build up) moving the ball from Z7 through Z22 to Z4 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00120,C,Z4,poacher_in_possession_in_Z7_under_pressure
pass_to_wide_target_man_who_lays_off_to_ball_playing_gk,mezzala,PASSING,ball_playing_gk_positioned_to_receive_in_Z8_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,ball_playing_gk receives progressed and facing forward in Z8,attacking_organisation,a third-man combination (build up) moving the ball from Z6 through Z3 to Z8 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00121,C,Z8,mezzala_in_possession_in_Z6_under_pressure
pass_to_attacking_fb_who_lays_off_to_pressing_forward,false_fb,PASSING,pressing_forward_positioned_to_receive_in_Z15_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,pressing_forward receives progressed and facing forward in Z15,attacking_organisation,a third-man combination (progression) moving the ball from Z7 through Z3 to Z15 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00122,C,Z15,false_fb_in_possession_in_Z7_under_pressure
pass_to_ball_playing_cb_who_lays_off_to_traditional_winger,inside_forward,PASSING,traditional_winger_positioned_to_receive_in_Z15_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,traditional_winger receives progressed and facing forward in Z15,attacking_organisation,a third-man combination (build up) moving the ball from Z18 through Z11 to Z15 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00123,C,Z15,inside_forward_in_possession_in_Z18_under_pressure
pass_to_wide_playmaker_who_lays_off_to_false_fb,poacher,PASSING,false_fb_positioned_to_receive_in_Z1_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,false_fb receives progressed and facing forward in Z1,offensive_transition,a third-man combination (counterattack) moving the ball from Z2 through Z13 to Z1 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00124,C,Z1,poacher_in_possession_in_Z2_under_pressure
pass_to_target_man_who_lays_off_to_defensive_winger,destroyer,PASSING,defensive_winger_positioned_to_receive_in_Z27_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,defensive_winger receives progressed and facing forward in Z27,attacking_organisation,a third-man combination (final third) moving the ball from Z8 through Z12 to Z27 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00125,C,Z27,destroyer_in_possession_in_Z8_under_pressure
pass_to_shot_stopper_who_lays_off_to_carrilero,mezzala,PASSING,carrilero_positioned_to_receive_in_Z23_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,carrilero receives progressed and facing forward in Z23,attacking_organisation,a third-man combination (build up) moving the ball from Z3 through Z29 to Z23 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00126,C,Z23,mezzala_in_possession_in_Z3_under_pressure
pass_to_aggressive_gk_who_lays_off_to_cover_defender,complete_forward,PASSING,cover_defender_positioned_to_receive_in_Z11_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,cover_defender receives progressed and facing forward in Z11,attacking_organisation,a third-man combination (final third) moving the ball from Z20 through Z9 to Z11 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00127,C,Z11,complete_forward_in_possession_in_Z20_under_pressure
pass_to_false_nine_who_lays_off_to_defensive_winger,attacking_fb,PASSING,defensive_winger_positioned_to_receive_in_Z29_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,defensive_winger receives progressed and facing forward in Z29,attacking_organisation,a third-man combination (progression) moving the ball from Z20 through Z16 to Z29 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00128,C,Z29,attacking_fb_in_possession_in_Z20_under_pressure
pass_to_wing_back_who_lays_off_to_complete_wing_back,inverted_winger,PASSING,complete_wing_back_positioned_to_receive_in_Z27_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,complete_wing_back receives progressed and facing forward in Z27,attacking_organisation,a third-man combination (progression) moving the ball from Z10 through Z2 to Z27 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00129,C,Z27,inverted_winger_in_possession_in_Z10_under_pressure
pass_to_wide_target_man_who_lays_off_to_traditional_winger,wide_playmaker,PASSING,traditional_winger_positioned_to_receive_in_Z2_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,traditional_winger receives progressed and facing forward in Z2,attacking_organisation,a third-man combination (build up) moving the ball from Z7 through Z25 to Z2 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00130,C,Z2,wide_playmaker_in_possession_in_Z7_under_pressure
pass_to_inverted_fb_who_lays_off_to_poacher,aggressive_gk,PASSING,poacher_positioned_to_receive_in_Z8_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,poacher receives progressed and facing forward in Z8,attacking_organisation,a third-man combination (final third) moving the ball from Z7 through Z3 to Z8 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00131,C,Z8,aggressive_gk_in_possession_in_Z7_under_pressure
pass_to_box_to_box_who_lays_off_to_complete_wing_back,mezzala,PASSING,complete_wing_back_positioned_to_receive_in_Z11_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,complete_wing_back receives progressed and facing forward in Z11,offensive_transition,a third-man combination (counterattack) moving the ball from Z24 through Z15 to Z11 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00132,C,Z11,mezzala_in_possession_in_Z24_under_pressure
pass_to_inverted_winger_who_lays_off_to_wide_playmaker,advanced_playmaker,PASSING,wide_playmaker_positioned_to_receive_in_Z3_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,wide_playmaker receives progressed and facing forward in Z3,attacking_organisation,a third-man combination (press escape) moving the ball from Z2 through Z7 to Z3 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00133,C,Z3,advanced_playmaker_in_possession_in_Z2_under_pressure
pass_to_mezzala_who_lays_off_to_anchor_man,carrilero,PASSING,anchor_man_positioned_to_receive_in_Z18_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,anchor_man receives progressed and facing forward in Z18,attacking_organisation,a third-man combination (press escape) moving the ball from Z8 through Z20 to Z18 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00134,C,Z18,carrilero_in_possession_in_Z8_under_pressure
